nodeID,nodeLabel,nodeLong,nodeLat
1173,1173,-115.223854,36.185225
1174,1174,-115.224038,36.184052
1175,1175,-115.224232,36.205754
1176,1176,-115.223793,36.160687
1177,1177,-115.224115,36.158511
1178,1178,-115.223888,36.176099
1179,1179,-115.225809,36.216187
1180,1180,-115.224851,36.105887
1182,1182,-115.224893,36.133679
1183,1183,-115.224025,36.169359
1185,1185,-115.224842,36.129903
1186,1186,-115.225092,36.128257
1187,1187,-115.225239,36.135743
1188,1188,-115.22532,36.139405
1189,1189,-115.224256,36.172308
1190,1190,-115.223712,36.199064
1191,1191,-115.223947,36.198319
1192,1192,-115.223742,36.164009
1193,1193,-115.22398,36.162355
1194,1194,-115.223921,36.171095
1195,1195,-115.224762,36.115467
1196,1196,-115.225032,36.113734
1198,1198,-115.22382,36.178906
1199,1199,-115.22508,36.109687
1200,1200,-115.225123,36.106427
1201,1201,-115.225439,36.215103
1202,1202,-115.225516,36.214252
1203,1203,-115.223781,36.19642
1204,1204,-115.224018,36.195237
1205,1205,-115.225079,36.140926
1208,1208,-115.225593,36.148161
